Chromosome	Start	Stop	Strand	Gene Symbol	CO09_D1	CO05_D1	CO25_D1X	CO35_D1	CO40_D1	CO13_D1B	CO19_D1	CO37_D1	CO01_D1	CO11_D1	CO17_D1	CO22_D1	CO30_D1B	CO10_D1
12	10163226	10171400	+	CLEC12B	4.65254	0.901007	10.4022	3.47421	0.717055	0.568567	2.41513	1.04412	1.8973	0.751036	4.87453	6.91132	3.68572	1.3269
16	11038345	11276044	+	CLEC16A	22.7747	17.3131	17.628	58.0749	26.6565	20.7898	28.9751	21.8718	25.1988	19.01	27.1158	24.4412	27.6726	18.9309
19	14693896	14721957	+	CLEC17A	1.21154	0.206769	0.625177	0.333217	0.62975	6.91119	1.38191	0.316638	0.348318	0.0628786	0.466994	0.369619	0.45597	0.126353
16	69984608	69998356	+	CLEC18A	1.48016	0.342176	0.292887	0.877907	0.515395	0.4422	1.32936	1.41386	0.415285	0.379256	0.693439	0.338819	0.872822	0.451511
16	70207690	70220799	+	CLEC18C	0.317371	0.00440853	0.000155191	8.06895e-05	0.000155191	0.0318764	0.395631	0.209307	0.000123937	0.197294	0.00170259	0.000155196	0.000104547	0.19727
12	10222153	10251585	-	CLEC1A	3.07845	0.991593	0.585922	1.05642	1.92933	3.40536	1.31153	2.39056	2.78377	2.19802	2.11158	1.068	2.10056	1.09486
12	10145661	10151900	-	CLEC1B	40.3387	22.6416	18.8268	20.6782	30.16	2.41565	15.9216	6.00107	5.75843	6.89395	8.85606	24.2362	6.04687	6.60585
12	10004968	10022459	-	CLEC2B	8.83561	59.5113	27.1157	44.8891	51.5227	36.2688	20.4166	65.0523	29.0596	44.8875	35.0538	48.7224	39.4415	15.1119
12	9822309	9852149	+	CLEC2D	30.2836	15.7303	39.9234	24.8028	19.7836	45.4754	27.4908	20.1071	26.208	20.6088	34.0429	20.2757	23.9441	17.036
7	139208431	139229732	+	CLEC2L	1.40662	0.000653901	0.0381613	0.173358	0.150677	0.0653859	0.586272	1.52928e-05	0.117258	0.105217	0.319733	0.0683131	0.225918	0.343992
12	8276228	8291204	+	CLEC4A	9.94982	7.65085	12.2345	43.5663	9.97064	9.85829	23.1065	15.6806	13.4852	11.1657	19.6765	13.0193	32.0397	12.5177
12	7881979	7902138	-	CLEC4C	1.01861	0.0379703	0.762865	0.574168	0.430247	0.480193	0.786179	0.417696	1.03562	0.143101	1.69952	0.0539208	2.07607	1.0259
12	8666099	8674961	+	CLEC4D	9.33289	31.1907	33.9975	71.2014	23.8321	19.6687	55.1438	51.3891	24.8852	36.7953	54.5887	78.0817	109.316	48.8237
12	8685901	8693502	-	CLEC4E	13.2179	80.6354	53.7916	41.8092	53.9183	36.2498	45.7721	94.1915	36.9396	52.7189	60.4809	115.327	111.957	52.4134
7	141627157	141646775	-	CLEC5A	1.79078	23.7278	9.79419	12.4386	7.11416	3.31211	4.19511	10.2804	4.19651	17.6317	4.13227	7.53733	12.6658	1.39164
12	8608558	8630927	+	CLEC6A	0.687446	2.53626	1.55218	4.36761	0.291886	0.531815	1.89125	4.35004	1.34412	1.57174	0.636423	1.06861	4.9044	1.31563
12	10269376	10282799	-	CLEC7A	50.8631	51.0584	33.5083	143.738	57.025	93.3761	92.3555	84.9466	95.3891	87.2138	80.6643	76.8996	148.225	71.9901
12	10183281	10218631	+	CLEC9A	0.865508	0.721172	0.200071	0.72148	0.266996	0.370145	0.116574	0.203688	0.193032	0.0267345	0.043568	0.601573	1.30258	0.000252291
12	9868456	9885896	-	CLECL1	0.500405	0.0638062	0.306023	0.70593	0.145949	0.360426	0.329688	0.0945109	0.291211	0.237703	0.250191	0.0320897	0.129929	0.172652
2	55399686	55459700	-	CLHC1	1.6841	2.64024	5.31305	2.42065	4.53539	1.87673	1.8189	2.18102	2.71101	1.8943	5.20167	7.02099	1.6815	4.19709
6	31698358	31705096	-	CLIC1	82.5021	92.1694	81.4973	194.739	113.57	97.0202	181.008	101.967	91.4802	121.561	113.282	97.0979	207.298	109.191
X	154505500	154563924	-	CLIC2	3.65772	6.08131	4.28585	58.7714	10.2539	6.33971	5.93647	2.6318	21.0358	3.45662	4.6415	10.5878	9.1181	14.0238
9	139889060	139891021	-	CLIC3	0.00457186	0.000710514	0.195608	0.0720322	1.40743e-05	0.021128	0.000397005	0.0278647	0.0694337	0.0233843	0.116278	0.0345848	2.51886e-05	0.0227633
1	25071938	25170811	+	CLIC4	66.3522	51.8623	54.0637	85.7709	58.7119	31.7788	64.8508	39.8618	47.7144	26.4929	37.3266	49.1877	49.6132	59.3585
6	45866190	46097557	-	CLIC5	0.282069	0.329558	0.765717	0.558318	0.78407	0.309107	0.145298	0.223165	0.941834	0.453129	0.654187	0.355478	0.259457	0.548501
5	157212755	157286154	-	CLINT1	21.791	20.9123	23.9088	32.9852	16.9828	13.7429	26.7297	19.3353	19.5894	17.6015	17.9921	19.8721	30.9503	20.5208
12	122755978	122907217	-	CLIP1	77.8954	31.0211	37.6497	43.7999	34.7127	48.3091	67.0878	33.1343	49.1595	45.8929	47.888	42.7991	59.9609	63.2041
7	73703737	73820266	+	CLIP2	6.08441	8.80971	8.31	0.960179	4.85986	3.02357	1.3471	2.02954	3.29876	4.84782	2.82966	7.80856	0.876035	2.69009
19	36505562	36523776	-	CLIP3	0.359711	0.0338865	0.000807566	0.000153227	0.000807566	0.0322465	6.52625e-05	0.000807566	0.0681576	2.29959	0.00404064	0.181137	0.000153227	0.000153227
2	29320542	29406675	+	CLIP4	9.93095	11.8112	7.60326	29.7927	6.93602	5.15651	18.0784	10.6929	10.9228	6.27745	4.9377	7.33765	23.3632	15.3725
2	201717732	201729382	-	CLK1	43.5496	39.0091	43.402	160.723	63.6111	48.5102	110.429	62.7301	65.4733	51.2007	72.7386	48.3651	193.209	67.7556
1	155232659	155243296	-	CLK2	8.95051	3.31551	3.07812	4.80648	2.48374	3.59024	9.19232	3.7151	3.7528	3.46422	2.98627	3.13496	8.16087	5.5452
7	23624335	23626147	-	CLK2P1	0.631868	0.164418	0.230317	0.308113	0.627553	0.337969	0.605021	0.405473	0.455939	0.580543	0.33352	0.0206968	0.496842	1.22254
15	74900713	74922543	+	CLK3	32.9302	13.8871	10.4317	31.0452	18.0178	19.7334	23.021	15.196	27.843	17.9511	16.7155	16.012	27.6591	18.641
5	178029665	178054052	-	CLK4	14.3845	15.824	17.3106	28.6994	19.608	12.9432	28.7451	19.2917	15.8293	16.2408	19.8062	16.352	37.083	22.2887
14	95648277	95786246	-	CLMN	12.2635	3.59597	6.14716	12.5618	4.74798	11.5975	25.8033	9.33017	8.07696	3.66773	7.92599	4.34214	17.6169	19.9227
16	28477974	28503624	-	CLN3	9.37629	3.49896	3.94467	3.33393	4.29465	4.39677	5.00017	4.08296	4.07705	4.78566	4.818	3.52501	4.96517	2.74962
13	77566216	77579253	+	CLN5	3.34222	6.02541	4.35843	9.55302	3.62179	5.66159	7.76284	8.2242	5.3216	4.20916	4.00967	5.25043	9.01174	6.73341
15	68499330	68522067	-	CLN6	3.46752	1.25514	1.79924	1.81575	1.88841	1.66157	2.78138	1.12292	1.81124	1.94495	2.28261	1.87226	3.0216	1.80203
8	1711955	1734737	+	CLN8	3.41471	2.49092	2.2856	5.24025	1.88393	3.22509	4.05763	2.02727	3.53782	1.83851	1.63127	2.07382	3.99215	3.38895
4	10488019	10686393	-	CLNK	0.000256269	0.0273055	0.655666	0.000256269	0.000918714	0.268632	3.90215e-05	0.000918714	0.0271814	0.000918714	0.0070927	1.02666	0.000256269	0.000256269
11	77325575	77348852	-	CLNS1A	14.7633	14.5519	12.0508	47.7483	21.434	13.9936	32.0729	15.3706	15.1888	15.5054	15.2941	12.0037	37.8927	14.0129
4	56294068	56413077	-	CLOCK	8.83876	5.25034	8.09151	14.3705	5.18542	7.85186	13.2596	7.11611	8.92908	6.21346	7.09527	4.56564	13.6021	11.2436
11	57425216	57429338	+	CLP1	2.85797	1.91506	1.97277	5.29275	2.66361	3.94469	4.80269	2.94408	3.75901	2.68933	3.1319	2.11756	6.90338	3.36188
11	71996540	72145729	-	CLPB	7.78056	5.09692	6.09423	7.86339	5.41537	5.84692	5.78938	4.82722	9.09255	4.60695	5.52265	5.72771	4.77003	11.7822
19	6361542	6370254	+	CLPP	1.43859	0.824352	1.23973	1.4556	1.17274	1.35396	1.20965	0.933953	1.33552	1.62495	1.59848	0.903357	1.75626	0.666199
19	45457842	45496605	+	CLPTM1	11.8311	5.97553	7.8696	7.44498	7.60942	10.1927	8.92086	7.16249	10.7945	9.59395	9.95347	6.62998	10.5978	9.56394
5	1317867	1345215	-	CLPTM1L	10.792	7.32555	12.5028	15.6917	12.4652	7.70866	11.7262	9.01503	11.8016	9.48067	15.0879	9.6419	12.8531	13.4274
15	65440558	65477681	-	CLPX	12.8458	9.615	11.6299	33.2996	12.9903	14.0503	14.994	10.9363	25.0193	12.6671	15.2671	12.4744	22.1643	20.4617
3	150690465	150798514	+	CLRN1-AS1	0.514091	0.0136444	0.165242	0.629999	0.114596	3.19513	3.77904	0.111255	0.171091	0.459851	2.43212	0.207076	1.32632	0.24491
1	36185814	36235580	-	CLSPN	1.2539	2.36327	3.52207	3.92788	3.5721	1.50291	0.935534	2.13279	3.2123	2.49431	4.16135	4.53158	1.53471	1.37819
1	9788984	9884585	-	CLSTN1	13.3932	8.47979	14.1927	5.48126	8.41962	14.2035	8.3173	10.9575	11.8472	11.4637	12.7634	8.11869	6.55017	14.1116
12	7282967	7311531	+	CLSTN3	53.381	2.32476	3.67496	2.05811	1.87998	2.14613	10.5784	2.83444	2.73526	4.89277	3.72483	2.30294	4.61234	4.14113
9	36190853	36212060	+	CLTA	6.05051	5.34881	5.53805	9.3413	6.66195	5.12833	8.87916	4.48772	4.40766	5.1898	4.90164	4.09602	8.44407	3.91493
5	175819453	175843571	-	CLTB	2.44894	1.99803	1.80412	3.95546	2.74796	1.67216	0.900621	2.24555	5.75192	2.60903	3.18657	3.52157	2.94081	1.28223
17	57697050	57774318	+	CLTC	147.067	116.309	112.509	360.171	151.087	117.538	320.692	146.336	171.447	140.107	146.166	108.124	372.56	305.595
22	19166986	19279243	-	CLTCL1	3.87689	9.59863	2.97752	9.83019	3.41793	1.59402	6.01033	6.01769	2.79698	3.74174	2.07952	7.76794	5.76631	3.30776
8	27454434	27472218	-	CLU	177.628	90.3811	78.2241	31.3517	102.776	27.6811	58.1338	57.2247	40.1736	61.9242	73.5234	126.353	22.7577	75.1345
16	3551004	3589052	+	CLUAP1	1.18049	1.24895	1.21483	1.91494	1.84185	1.34123	0.971216	0.88055	1.62115	1.36407	1.3862	1.46749	0.962465	1.06596
17	2592681	2615315	-	CLUH	1.74447	1.36919	1.91825	0.670797	1.64875	1.13166	1.04885	1.28789	1.46269	1.56149	2.0121	1.98062	1.5506	1.41969
16	31711934	31718746	+	CLUHP3	0.674042	0.573173	0.484882	0.815388	0.847426	2.28045	0.216085	0.498638	0.301931	0.304879	0.258366	0.1351	2.78898	0.000311039
13	100258918	100561699	+	CLYBL	0.539692	0.147329	0.0994119	0.28505	0.23684	0.939123	0.175724	0.241425	0.0815031	0.165398	0.233519	0.233518	0.568603	0.000298824
6	25081295	25138621	-	CMAHP	24.0004	10.9666	8.84494	8.03471	8.75542	3.36229	8.57387	7.05719	6.64921	5.54967	6.22569	12.6993	6.25566	6.0502
12	22199108	22218607	+	CMAS	6.89222	4.98805	5.60905	23.5275	4.86127	3.75853	6.07048	3.13618	9.21548	2.60611	3.34764	5.1126	7.22129	5.31845
5	10277707	10308015	-	CMBL	0.141962	2.40995	2.40553	3.58784	2.32915	0.548706	1.02638	0.434931	0.265649	1.60138	0.863679	1.60168	0.320344	0.433593
3	28283110	28366619	+	CMC1	1.532	2.65673	4.72044	3.88563	2.98806	1.83317	2.05889	2.05187	3.29167	3.18057	3.12394	2.15574	3.71082	2.95279
16	81000345	81040491	-	CMC2	3.03662	7.64761	5.01104	5.77965	10.3034	3.7632	5.06494	5.87884	2.88278	6.00446	4.79334	4.46414	4.47721	2.75489
X	154289898	154299412	-	CMC4	0.157774	0.306145	0.308036	0.565134	0.430738	0.347066	0.327071	0.286932	0.314006	0.190726	0.320886	0.416573	0.664525	0.164377
16	81478775	81745368	+	CMIP	102.564	71.4497	68.5001	10.8297	56.164	36.3158	26.8557	43.4699	37.6526	51.1321	48.1832	81.3222	20.0532	40.1965
12	108681821	108733089	-	CMKLR1	3.87043	3.46028	6.22045	4.23434	1.94613	3.91981	4.71187	6.57423	5.30701	2.80962	3.90828	3.00785	5.05899	9.62136
1	47799462	47844512	+	CMPK1	64.4082	66.8954	59.1132	103.449	62.4179	30.5363	75.1801	37.798	49.0574	46.9497	41.601	62.3958	70.9961	57.1875
2	6980684	7006767	-	CMPK2	14.447	116.275	46.9812	19.9118	46.3897	72.0017	9.03966	145.596	15.5614	109.644	63.1157	132.611	2.18745	5.18006
3	99536706	99900577	+	CMSS1	0.821245	0.447661	0.74063	0.171231	0.647252	1.10335	0.386017	0.357066	0.479443	0.328737	0.544853	0.522156	0.292835	0.324316
16	66600342	66613039	+	CMTM1	5.2835	2.4604	3.23918	6.09619	6.27978	2.76557	3.8822	3.91102	4.7029	8.43905	9.96153	4.4296	6.0635	2.63706
16	66613366	66622178	+	CMTM2	1.17068	3.31158	3.056	5.42782	6.90731	3.45847	3.39637	1.77014	4.07586	4.95789	4.52515	4.69246	10.1082	3.2097
16	66637899	66647796	+	CMTM3	7.89238	12.0036	9.49855	13.8682	12.6385	15.0424	11.7488	9.22485	11.9822	13.2312	9.6186	9.77558	13.8905	10.2817
16	66648653	66730647	-	CMTM4	4.90429	2.20916	2.7331	11.9319	2.47249	1.3609	6.48896	2.28957	3.47422	2.178	2.55687	2.25028	7.47786	4.05224
14	23846255	23848982	+	CMTM5	9.18755	14.961	6.80431	13.1726	9.41422	1.21758	12.7384	3.10882	1.54554	5.26852	2.65383	9.46738	4.08313	2.85843
3	32522804	32544345	-	CMTM6	129.992	136.403	120.09	404.612	188.226	116.022	303.464	174.239	186.64	180.922	189.962	151.671	527.424	237.205
3	32433345	32497021	+	CMTM7	9.26415	4.8454	4.49499	4.68517	5.71371	4.96142	7.87058	5.02059	5.42315	4.19291	4.97176	5.26843	6.47537	8.53578
6	37400997	37449285	+	CMTR1	25.6069	24.0346	8.45158	7.42866	15.2949	15.7955	10.5135	33.1004	9.48534	23.9958	13.6782	19.086	6.21767	5.31581
16	71315296	71323626	-	CMTR2	8.11876	6.61752	10.1788	20.7015	6.09443	7.45416	17.3515	7.87186	7.56633	6.44724	6.61247	4.02317	17.262	9.13223
5	78985659	79096045	+	CMYA5	0.237541	0.215553	0.395976	3.55616e-05	0.179822	0.119209	0.000281202	0.331603	1.51616	0.225987	0.415172	0.448998	0.115975	0.0321376
3	128886670	128902740	-	CNBP	52.0345	74.4397	90.2657	191.596	91.395	129.308	127.83	80.7987	123.922	118.437	111.518	79.5316	196.706	124.546
18	72163598	72190690	+	CNDP2	44.1855	25.2479	17.5866	10.6183	18.6752	15.4919	16.7095	26.2017	16.1749	19.7054	14.2201	14.4032	10.1895	16.2151
16	50059117	50071000	+	CNEP1R1	5.98105	12.0809	10.8771	35.9323	14.497	13.7327	23.9661	15.5198	15.0879	17.6219	16.6572	13.3207	43.3782	19.4212
11	6260319	6265710	+	CNGA4	1.26982	0.305062	0.0740485	0.000370146	0.516863	3.25648	0.0283946	0.205358	0.17855	0.36095	0.258856	0.617684	0.000370146	3.23035
14	54890279	54908093	-	CNIH1	8.96205	8.2114	9.29505	31.0544	9.37617	7.96813	24.0555	8.72446	11.2299	9.65547	9.19552	6.74832	27.2408	19.855
1	224544581	224567154	+	CNIH4	13.8253	26.2472	14.3896	53.7535	30.9966	19.7811	33.6294	33.042	22.8128	32.632	24.4667	21.7307	53.993	20.5388
1	26503982	26516376	+	CNKSR1	0.0113566	0.0650761	0.131503	0.0149782	0.0716635	0.00660198	0.000318765	0.0521938	0.05575	0.0875587	0.154514	0.235406	3.1371e-05	0.0377902
X	21392536	21672808	+	CNKSR2	1.94828	0.438608	0.692931	0.92868	1.20104	3.89309	0.252228	0.276992	0.365486	0.503239	0.607451	0.315849	1.22196	0.000299773
6	154708649	154831820	-	CNKSR3	2.04419	0.801815	0.27975	1.42838	0.899895	0.20959	0.201818	0.404517	0.0835754	0.279342	0.281972	0.854412	0.181291	0.000333028
19	11649666	11661139	+	CNN1	0.0227316	0.700359	0.030292	0.0299978	0.0422064	0.0244918	0.468217	0.0177936	0.00111214	0.0961655	0.00305883	0.0970956	0.0171094	0.0216541
19	1026607	1039065	+	CNN2	62.6004	68.3874	58.1845	40.2602	85.6203	73.737	60.1378	53.1395	72.7014	66.9224	62.6638	67.8591	82.6488	82.2905
1	95362505	95392780	-	CNN3	0.0162377	0.3609	0.244381	0.0267731	0.499142	0.10821	0.000445273	0.500731	2.94279	0.116253	0.0831452	0.0219665	0.0244287	0.0540846
10	104678051	104849980	+	CNNM2	4.51031	4.77711	4.81265	4.88344	5.09232	3.35355	4.36311	2.41073	3.21148	3.09815	3.00306	4.25863	2.90005	3.43092
2	97482005	97501120	+	CNNM3	5.29806	4.11348	4.16178	5.29034	5.77298	4.34479	5.17255	3.36275	7.03078	5.18911	4.50122	3.51871	10.4063	6.2937
2	97426639	97477611	+	CNNM4	3.74321	3.01489	1.77507	1.69823	2.34924	1.90028	2.10007	3.10212	2.77747	2.80813	2.16509	2.99675	2.66055	2.55668
16	58553855	58663731	-	CNOT1	112.368	83.929	81.7118	166.354	90.6501	97.2681	151.658	114.11	120.582	107.138	105.548	81.5619	179.441	138.611
3	32726680	32815368	+	CNOT10	9.87976	8.72786	9.55532	16.8147	9.49841	10.3832	13.7885	9.51791	11.6629	9.32806	10.5648	10.1319	16.8481	11.2848
2	101869348	101886779	+	CNOT11	5.18011	6.50614	5.98759	9.83846	6.84993	7.01247	10.3657	7.27653	6.01218	6.25614	6.03376	5.17142	11.0703	7.7496
12	70636810	70749038	+	CNOT2	18.0083	14.6596	16.1724	24.6043	14.8941	15.6022	21.4834	17.4145	20.2969	16.134	16.5873	13.6242	24.6785	23.2726
12	70615970	70637141	-	CNOT2-DT	0.592199	0.48837	0.47716	1.15171	0.763008	0.687142	0.997536	0.612557	0.624589	0.471341	0.659203	0.559428	0.867846	0.75337
19	54641478	54659420	+	CNOT3	14.1556	4.56063	4.08324	2.10906	5.39162	6.75252	2.98904	5.60071	7.00077	5.61706	5.53444	4.62136	2.90635	3.41871
7	135046547	135194876	-	CNOT4	14.2749	9.6986	10.4945	13.2189	9.50403	13.3409	11.1693	16.2996	16.204	11.3737	15.751	15.5989	13.0232	13.4416
5	179921379	180005358	+	CNOT6	23.0584	22.9106	22.8477	69.6455	25.5209	23.3215	40.6224	26.8324	38.0998	21.8836	24.6827	22.2103	58.7551	42.8247
4	78634541	78741424	-	CNOT6L	55.5461	62.1506	65.134	116.05	58.8222	48.0292	75.9291	60.2305	69.1959	47.2437	52.2768	55.1919	99.9129	64.6838
8	17082475	17104419	-	CNOT7	21.4164	22.7144	25.3518	50.5347	27.8843	25.8877	43.2427	28.5136	27.5824	24.6968	27.0355	18.7728	56.1496	31.231
5	154237809	154256353	+	CNOT8	32.2038	32.1635	24.3129	89.547	39.1359	36.8138	74.9991	39.5679	37.4873	37.4124	35.5991	31.4947	76.176	51.8279
2	219433303	219461800	+	CNOT9	6.24803	6.94907	8.93211	13.5826	6.64784	7.20446	10.869	7.87849	8.71138	7.35881	7.5554	5.80195	12.4276	11.481
17	40118813	40129759	+	CNP	8.27207	9.51197	8.6757	6.90074	4.7996	11.5897	6.75766	14.1477	8.35839	10.4762	9.20004	11.6078	6.61883	5.47565
2	220036619	220042879	-	CNPPD1	12.6484	9.67133	8.16347	95.4751	25.1428	17.634	16.8186	6.08139	48.9263	11.0495	17.2593	26.0999	29.1236	31.3192
12	56703628	56710133	-	CNPY2	1.85246	1.42419	2.15343	2.9803	1.985	1.57631	3.37359	2.07227	1.26337	1.55696	2.54034	1.80523	2.36331	1.82343
6	42895740	42907033	+	CNPY3	35.7623	15.231	18.6757	20.2658	20.8993	18.774	19.9275	18.0205	27.1433	21.0763	25.1742	19.4198	27.4669	18.2068
6	42897218	42931619	+	CNPY3-GNMT	0.34146	0.00552323	0.00037163	0.137224	0.392871	0.23739	0.15361	0.136862	0.0950153	0.128566	0.0446436	0.00037163	0.059506	0.0388813
7	99717257	99723129	+	CNPY4	0.758826	0.220511	0.491267	0.751112	0.616834	0.640379	0.681567	0.476867	0.473377	0.446686	1.04029	0.390461	0.804684	0.201316
6	88849585	88877069	-	CNR1	0.116553	0.255793	0.800666	0.10988	0.000280767	3.39777	1.54943	8.79711	0.169907	0.000280767	0.0232084	4.89051	0.175382	4.6595
1	24197006	24239853	-	CNR2	1.14236	1.33081	1.63303	1.19997	1.28042	9.92695	3.33367	0.762823	0.929184	1.32079	1.02554	1.03293	1.22814	1.01047
2	68511303	68547082	-	CNRIP1	7.91623e-05	0.104606	0.0507761	0.396109	0.000283397	7.91623e-05	0.000126323	0.0470163	0.37356	0.20196	0.0172536	1.01281	0.0430937	0.143001
1	246729639	246831898	+	CNST	86.8462	59.8826	79.8388	48.5676	79.4908	23.7054	56.1644	32.4737	28.2424	28.1308	41.8123	54.1089	40.5299	24.7278
11	58390138	58393206	+	CNTF	0.941654	0.792887	0.438594	0.636206	0.461102	1.00304	1.03758	0.615198	0.806971	0.580956	0.319261	0.44604	0.474178	2.25139
9	17135038	17503922	+	CNTLN	9.11333	8.15336	8.15631	14.4929	10.3153	8.52858	5.62368	7.79742	15.3364	9.34716	10.5262	11.128	7.09495	8.64377
3	2140487	3099646	+	CNTN4	0.0001	0.0611293	0.000373083	0.0001	0.000373083	0.0001	0.0001	0.000373083	0.0001	0.177373	2.68037e-05	0.000373083	0.0001	0.0001
7	146471363	148118089	+	CNTNAP2	0.688966	0.163065	1.2335	0.202212	0.470526	1.3766	1.20865	1.06557	0.295361	0.27389	0.105787	0.000230729	0.691327	0.574294
9	39072764	39288301	-	CNTNAP3	79.2494	4.66855	22.7506	59.6691	15.1792	14.8575	89.0202	9.82694	36.3357	12.2691	64.9974	38.5232	111.92	75.6757
9	43684885	43922474	+	CNTNAP3B	0.117227	0.000290534	3.94842e-05	0.904463	0.0338885	9.42159e-05	0.409971	3.48278e-05	0.0031489	0.000236893	0.000293357	0.000192101	0.34108	0.0175745
9	43685196	43924058	+	CNTNAP3P2	2.54365	0.552471	5.48985	6.12455	1.31368	1.90716	7.37436	1.10595	4.56338	1.97078	9.60716	4.12892	15.8463	13.9534
9	123837233	123939889	+	CNTRL	68.0862	30.6311	27.2961	20.9389	19.368	21.4243	26.4552	38.3141	29.1117	17.2293	22.9306	37.4658	18.3328	29.3968
17	7835399	7853239	+	CNTROB	3.9879	4.34101	2.23585	1.35398	2.2105	1.71015	1.7579	2.33761	1.78152	1.89266	1.32303	3.61512	1.50064	1.25256
7	43648056	43769141	-	COA1	10.6932	14.224	9.25943	14.4621	15.9456	8.67367	11.2598	14.8996	10.7877	14.9196	13.8714	16.6608	20.172	6.00987
17	40949643	40950723	-	COA3	1.16957	1.34308	1.71039	1.76404	1.0796	0.872442	1.33425	1.05902	1.51067	1.09936	0.982912	0.931402	2.26325	1.41583
11	73583713	73587892	-	COA4	1.48107	1.57182	1.54016	3.41019	1.84342	1.53573	2.62263	1.32144	1.83301	1.99067	1.52113	1.18355	2.70346	2.41639
2	99215777	99224976	-	COA5	2.22755	2.35312	2.47968	5.98008	2.71371	3.29162	4.77874	2.86539	3.09972	2.94978	2.80485	1.96767	5.18664	3.7133
1	234509202	234520827	+	COA6	0.799501	1.36174	0.92942	1.8518	1.31478	1.64704	1.2548	1.58164	1.26993	1.11766	1.10217	1.27755	2.01365	0.652807
1	53150121	53164020	-	COA7	1.3972	0.838511	1.95049	2.07981	0.957967	0.980308	1.49347	1.01207	1.46855	0.727959	1.3142	0.926009	1.44274	1.7333
14	104029297	104059552	+	COA8	2.27618	2.21222	2.87815	9.56593	3.00383	2.84627	3.10979	2.74796	4.90063	2.68236	3.5012	2.61997	6.61889	2.21035
17	40714166	40718296	+	COASY	7.97326	2.94752	2.87716	3.3045	3.91299	3.92075	4.77189	4.07815	4.64869	4.29937	4.66703	3.5555	5.70775	3.93077
2	165514441	165698587	-	COBLL1	4.58938	3.15966	10.3622	3.14967	4.18455	17.7708	5.53626	2.55479	5.12294	2.25928	7.13475	9.64097	2.5263	6.60128
14	31343741	31359825	+	COCH	0.766404	1.24566	0.743603	0.834463	0.283652	0.311316	1.93921	1.44515	0.295017	0.429069	0.269032	0.49709	1.55718	0.7985
17	71189194	71204646	+	COG1	6.55468	3.71006	3.85561	2.55542	2.83316	3.79259	3.94802	3.29585	3.85232	4.11006	3.34857	3.67636	4.06397	3.49424
1	230778227	230829729	+	COG2	4.06514	3.22989	5.78231	16.6662	6.2511	4.60777	10.9775	4.80121	5.90436	4.29129	7.58394	3.98759	9.46104	11.4511
13	46039074	46110837	+	COG3	15.1052	13.8573	11.5367	26.8601	15.6662	11.458	19.8204	17.2925	17.337	16.1278	15.6961	13.8418	27.6896	17.0044
16	70514470	70557458	-	COG4	9.86356	4.01813	4.27416	8.08447	3.2196	4.1654	7.2515	6.30008	5.39468	3.93423	4.28398	3.6043	5.32876	5.40775
7	106842189	107204960	-	COG5	20.9264	10.5392	15.9134	32.6694	12.9569	16.129	25.2031	17.7538	19.4684	11.0707	18.2334	12.6314	25.5644	18.9183
13	40229764	40365804	+	COG6	4.06859	4.42534	5.50735	9.79449	4.15289	4.67723	8.49289	4.4349	4.76617	4.03904	4.89928	5.34247	9.95106	5.62055
16	23399814	23464511	-	COG7	5.48818	2.30517	1.8468	3.93745	1.97929	1.72169	4.60961	2.67003	2.22336	1.88027	1.6328	1.4977	2.78556	3.2447
16	69362524	69373527	-	COG8	6.36626	3.38064	3.74115	7.17855	4.81764	5.64221	9.79561	4.53623	4.83241	5.34389	5.46627	3.35996	8.58092	6.96761
17	55015561	55038412	-	COIL	2.90109	2.73322	3.20407	3.77702	1.77726	3.70742	4.17729	3.20812	3.05869	3.25757	2.70638	2.50068	4.396	3.26767
6	116440072	116447296	-	COL10A1	1.68762	0.383244	0.246033	0.174853	0.293179	0.307322	0.114621	0.199265	0.41747	0.0410177	0.207497	3.02475	0.0499839	0.110496
10	105791044	105845639	-	COL17A1	0.0122695	1.35458	0.42829	2.07745	0.288243	0.127493	0.31081	0.18658	0.154495	0.318671	0.11519	1.31022	0.955077	0.162794
21	46825080	46933635	+	COL18A1	13.1068	3.2665	4.78171	3.15553	3.50668	5.67797	6.885	4.25544	2.86332	2.04532	3.37546	2.766	3.78517	1.94127
6	70576448	70922171	+	COL19A1	10.8057	0.53326	1.55875	0.778386	1.08659	44.3386	2.58941	0.899776	0.450578	0.535624	1.08947	0.315169	7.24512	0.000544189
17	48261457	48279001	-	COL1A1	0.153198	0.0428547	0.000106622	1.07425e-05	0.000106622	0.00676076	0.000930879	0.1056	0.000930879	0.253028	9.37891e-05	0.000106622	0.00584793	1.07425e-05
1	86194916	86622668	-	COL24A1	3.78674	6.21313	1.67322	4.00186	2.35701	2.72557	4.7932	4.01016	1.98459	2.36067	1.16062	3.74018	1.88561	3.58344
4	109729883	110223815	-	COL25A1	0.038277	0.00443651	0.0464355	0.00460094	0.000259171	0.0101013	0.00103773	0.0429971	0.181492	0.000259171	0.0125905	0.173878	0.010482	0.0261065
13	110801310	110959505	-	COL4A1	0.0537266	0.099943	0.0489069	0.0386842	0.0466287	2.70451e-05	0.466265	0.0339698	0.000369753	0.14637	0.0476168	0.137789	0.213112	0.0325791
2	228029340	228179509	+	COL4A3	0.192226	0.00838183	0.048943	0.000354323	0.835464	0.222992	0.177834	0.0903645	0.0589214	0.000273166	0.0178998	0.000273166	0.289148	2.55918
